Word/Phrase,Meaning,Usage in Sentence
Propaganda,Legislation,Propaganda kavramı modern siyaset biliminin temelini oluşturur.
Bürokrasi,National security,Bürokrasi konusunda yapılan reformlar geniş yankı uyandırdı.
Ekonomi politikası,Politics,"Ekonomi politikası, demokrasinin işleyişinde kritik bir rol oynar."
Yerel yönetim,Parliament,Yerel yönetim kavramı modern siyaset biliminin temelini oluşturur.
Ulusal güvenlik,Rule of law,"Ulusal güvenlik, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Anayasa değişikliği,Political crisis,"Anayasa değişikliği, demokrasinin işleyişinde kritik bir rol oynar."
Parlamento sistemi,Legislation,Parlamento sistemi üzerine yoğun tartışmalar yaşanmaktadır.
Siyasi kriz,State policy,Bir toplumun Siyasi kriz ilkelerine bağlı olması önemlidir.
Parti disiplini,Judiciary,"Parti disiplini, günümüz siyasetinde bir dönüm noktasıdır."
Ulusal çıkarlar,Civil society,"Ulusal çıkarlar perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Kamuoyu,Election,"Kamuoyu, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Devlet politikası,Pluralism,Devlet politikası kavramı modern siyaset biliminin temelini oluşturur.
Sivil toplum,Election,"Sivil toplum perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Yolsuzluk,Parliament,"Yolsuzluk, günümüz siyasetinde bir dönüm noktasıdır."
Çoğulculuk,Sovereignty,"Çoğulculuk, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Temsili demokrasi,Diplomacy,Temsili demokrasi üzerine yoğun tartışmalar yaşanmaktadır.
Egemenlik,Politics,"Egemenlik, demokrasinin işleyişinde kritik bir rol oynar."
Bağımsızlık,Rule of law,"Bağımsızlık, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Demokrasi,Human rights,"Demokrasi perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Hukukun üstünlüğü,Local government,"Hukukun üstünlüğü, günümüz siyasetinde bir dönüm noktasıdır."
İnsan hakları,Pluralism,"İnsan hakları, demokrasinin işleyişinde kritik bir rol oynar."
Anayasa,Executive,Anayasa kavramı modern siyaset biliminin temelini oluşturur.
Özgürlük,Party discipline,"Özgürlük perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Siyaset,Sovereignty,"Siyaset, günümüz siyasetinde bir dönüm noktasıdır."
Diplomasi,State policy,"Diplomasi, günümüz siyasetinde bir dönüm noktasıdır."
Uluslararası ilişkiler,Propaganda,"Uluslararası ilişkiler, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Meclis,Parliament,"Meclis, demokrasinin işleyişinde kritik bir rol oynar."
Reform,Election,Reform konusunda yapılan reformlar geniş yankı uyandırdı.
Muhalefet,Diplomacy,"Muhalefet, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
İktidar,Political crisis,"İktidar perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Seçim,Coalition,Seçim konusunda yapılan reformlar geniş yankı uyandırdı.
Koalisyon,Human rights,Koalisyon konusunda yapılan reformlar geniş yankı uyandırdı.
Halk egemenliği,Constitution,Bir toplumun Halk egemenliği ilkelerine bağlı olması önemlidir.
Yasama,State policy,"Yasama perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Yürütme,Constitutional amendment,"Yürütme, demokrasinin işleyişinde kritik bir rol oynar."
Yargı,Reform,Yargı kavramı modern siyaset biliminin temelini oluşturur.
Propaganda,Coalition,"Propaganda, demokrasinin işleyişinde kritik bir rol oynar."
Bürokrasi,Executive,"Bürokrasi perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Ekonomi politikası,National interests,Ekonomi politikası konusunda yapılan reformlar geniş yankı uyandırdı.
Yerel yönetim,Diplomacy,"Yerel yönetim, demokrasinin işleyişinde kritik bir rol oynar."
Ulusal güvenlik,Political crisis,"Ulusal güvenlik, demokrasinin işleyişinde kritik bir rol oynar."
Anayasa değişikliği,Executive,Anayasa değişikliği kavramı modern siyaset biliminin temelini oluşturur.
Parlamento sistemi,Opposition,"Parlamento sistemi, demokrasinin işleyişinde kritik bir rol oynar."
Siyasi kriz,Democracy,Siyasi kriz kavramı modern siyaset biliminin temelini oluşturur.
Parti disiplini,Executive,"Parti disiplini perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Ulusal çıkarlar,Rule of law,Bir toplumun Ulusal çıkarlar ilkelerine bağlı olması önemlidir.
Kamuoyu,Reform,"Kamuoyu, demokrasinin işleyişinde kritik bir rol oynar."
Devlet politikası,State policy,"Devlet politikası, demokrasinin işleyişinde kritik bir rol oynar."
Sivil toplum,Constitutional amendment,"Sivil toplum, demokrasinin işleyişinde kritik bir rol oynar."
Yolsuzluk,Local government,Bir toplumun Yolsuzluk ilkelerine bağlı olması önemlidir.
Çoğulculuk,Opposition,"Çoğulculuk, günümüz siyasetinde bir dönüm noktasıdır."
Temsili demokrasi,Constitution,Bir toplumun Temsili demokrasi ilkelerine bağlı olması önemlidir.
Egemenlik,Civil society,"Egemenlik, demokrasinin işleyişinde kritik bir rol oynar."
Bağımsızlık,Propaganda,Bağımsızlık üzerine yoğun tartışmalar yaşanmaktadır.
Demokrasi,Political crisis,Bir toplumun Demokrasi ilkelerine bağlı olması önemlidir.
Hukukun üstünlüğü,Coalition,"Hukukun üstünlüğü, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
İnsan hakları,Public opinion,"İnsan hakları perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Anayasa,Pluralism,Anayasa üzerine yoğun tartışmalar yaşanmaktadır.
Özgürlük,Party discipline,"Özgürlük perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Siyaset,Judiciary,Bir toplumun Siyaset ilkelerine bağlı olması önemlidir.
Diplomasi,State policy,"Diplomasi, demokrasinin işleyişinde kritik bir rol oynar."
Uluslararası ilişkiler,Constitution,Uluslararası ilişkiler kavramı modern siyaset biliminin temelini oluşturur.
Meclis,Rule of law,"Meclis, günümüz siyasetinde bir dönüm noktasıdır."
Reform,Freedom,"Reform, demokrasinin işleyişinde kritik bir rol oynar."
Muhalefet,Executive,"Muhalefet, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
İktidar,Propaganda,"İktidar perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Seçim,Local government,Seçim üzerine yoğun tartışmalar yaşanmaktadır.
Koalisyon,Opposition,Koalisyon konusunda yapılan reformlar geniş yankı uyandırdı.
Halk egemenliği,Corruption,Halk egemenliği üzerine yoğun tartışmalar yaşanmaktadır.
Yasama,Economic policy,Yasama kavramı modern siyaset biliminin temelini oluşturur.
Yürütme,Economic policy,Yürütme konusunda yapılan reformlar geniş yankı uyandırdı.
Yargı,Opposition,Bir toplumun Yargı ilkelerine bağlı olması önemlidir.
Propaganda,Pluralism,"Propaganda, günümüz siyasetinde bir dönüm noktasıdır."
Bürokrasi,Pluralism,Bürokrasi konusunda yapılan reformlar geniş yankı uyandırdı.
Ekonomi politikası,Sovereignty,"Ekonomi politikası, günümüz siyasetinde bir dönüm noktasıdır."
Yerel yönetim,Corruption,Yerel yönetim üzerine yoğun tartışmalar yaşanmaktadır.
Ulusal güvenlik,Independence,Ulusal güvenlik kavramı modern siyaset biliminin temelini oluşturur.
Anayasa değişikliği,Parliamentary system,Anayasa değişikliği konusunda yapılan reformlar geniş yankı uyandırdı.
Parlamento sistemi,Democracy,Bir toplumun Parlamento sistemi ilkelerine bağlı olması önemlidir.
Siyasi kriz,Sovereignty,Bir toplumun Siyasi kriz ilkelerine bağlı olması önemlidir.
Parti disiplini,Legislation,Parti disiplini konusunda yapılan reformlar geniş yankı uyandırdı.
Ulusal çıkarlar,International relations,"Ulusal çıkarlar, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Kamuoyu,Opposition,"Kamuoyu perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Devlet politikası,Opposition,Devlet politikası konusunda yapılan reformlar geniş yankı uyandırdı.
Sivil toplum,Coalition,Bir toplumun Sivil toplum ilkelerine bağlı olması önemlidir.
Yolsuzluk,Local government,Yolsuzluk konusunda yapılan reformlar geniş yankı uyandırdı.
Çoğulculuk,Constitutional amendment,"Çoğulculuk, günümüz siyasetinde bir dönüm noktasıdır."
Temsili demokrasi,International relations,"Temsili demokrasi, günümüz siyasetinde bir dönüm noktasıdır."
Egemenlik,Political crisis,"Egemenlik, demokrasinin işleyişinde kritik bir rol oynar."
Bağımsızlık,Sovereignty,Bir toplumun Bağımsızlık ilkelerine bağlı olması önemlidir.
Demokrasi,Constitution,Demokrasi üzerine yoğun tartışmalar yaşanmaktadır.
Hukukun üstünlüğü,Party discipline,Hukukun üstünlüğü konusunda yapılan reformlar geniş yankı uyandırdı.
İnsan hakları,Politics,Bir toplumun İnsan hakları ilkelerine bağlı olması önemlidir.
Anayasa,Propaganda,Anayasa kavramı modern siyaset biliminin temelini oluşturur.
Özgürlük,Propaganda,Özgürlük konusunda yapılan reformlar geniş yankı uyandırdı.
Siyaset,Local government,Siyaset konusunda yapılan reformlar geniş yankı uyandırdı.
Diplomasi,National security,Diplomasi üzerine yoğun tartışmalar yaşanmaktadır.
Uluslararası ilişkiler,Democracy,"Uluslararası ilişkiler, günümüz siyasetinde bir dönüm noktasıdır."
Meclis,Bureaucracy,"Meclis, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Reform,State policy,"Reform, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Muhalefet,State policy,Muhalefet konusunda yapılan reformlar geniş yankı uyandırdı.
İktidar,Civil society,"İktidar, demokrasinin işleyişinde kritik bir rol oynar."
Seçim,Civil society,Bir toplumun Seçim ilkelerine bağlı olması önemlidir.
Koalisyon,Civil society,"Koalisyon, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Halk egemenliği,Freedom,"Halk egemenliği perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Yasama,Ruling party,"Yasama perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Yürütme,Independence,Bir toplumun Yürütme ilkelerine bağlı olması önemlidir.
Yargı,Party discipline,Yargı konusunda yapılan reformlar geniş yankı uyandırdı.
Propaganda,Executive,Bir toplumun Propaganda ilkelerine bağlı olması önemlidir.
Bürokrasi,Opposition,Bürokrasi kavramı modern siyaset biliminin temelini oluşturur.
Ekonomi politikası,Political crisis,"Ekonomi politikası, günümüz siyasetinde bir dönüm noktasıdır."
Yerel yönetim,Representative democracy,Yerel yönetim üzerine yoğun tartışmalar yaşanmaktadır.
Ulusal güvenlik,Constitutional amendment,Ulusal güvenlik üzerine yoğun tartışmalar yaşanmaktadır.
Anayasa değişikliği,Pluralism,"Anayasa değişikliği, günümüz siyasetinde bir dönüm noktasıdır."
Parlamento sistemi,Corruption,Parlamento sistemi üzerine yoğun tartışmalar yaşanmaktadır.
Siyasi kriz,Sovereignty,"Siyasi kriz perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Parti disiplini,Bureaucracy,"Parti disiplini perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Ulusal çıkarlar,Corruption,Bir toplumun Ulusal çıkarlar ilkelerine bağlı olması önemlidir.
Kamuoyu,Coalition,Bir toplumun Kamuoyu ilkelerine bağlı olması önemlidir.
Devlet politikası,Rule of law,Devlet politikası konusunda yapılan reformlar geniş yankı uyandırdı.
Sivil toplum,Rule of law,Sivil toplum konusunda yapılan reformlar geniş yankı uyandırdı.
Yolsuzluk,Coalition,"Yolsuzluk, demokrasinin işleyişinde kritik bir rol oynar."
Çoğulculuk,Democracy,"Çoğulculuk, demokrasinin işleyişinde kritik bir rol oynar."
Temsili demokrasi,Bureaucracy,Temsili demokrasi konusunda yapılan reformlar geniş yankı uyandırdı.
Egemenlik,Freedom,"Egemenlik perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Bağımsızlık,Public opinion,"Bağımsızlık, günümüz siyasetinde bir dönüm noktasıdır."
Demokrasi,Local government,"Demokrasi, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Hukukun üstünlüğü,National interests,Hukukun üstünlüğü konusunda yapılan reformlar geniş yankı uyandırdı.
İnsan hakları,Economic policy,"İnsan hakları perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Anayasa,Election,"Anayasa, demokrasinin işleyişinde kritik bir rol oynar."
Özgürlük,Freedom,"Özgürlük, günümüz siyasetinde bir dönüm noktasıdır."
Siyaset,Propaganda,"Siyaset, günümüz siyasetinde bir dönüm noktasıdır."
Diplomasi,Judiciary,Bir toplumun Diplomasi ilkelerine bağlı olması önemlidir.
Uluslararası ilişkiler,Economic policy,Uluslararası ilişkiler kavramı modern siyaset biliminin temelini oluşturur.
Meclis,Representative democracy,Meclis kavramı modern siyaset biliminin temelini oluşturur.
Reform,Judiciary,Reform kavramı modern siyaset biliminin temelini oluşturur.
Muhalefet,State policy,"Muhalefet, günümüz siyasetinde bir dönüm noktasıdır."
İktidar,Corruption,Bir toplumun İktidar ilkelerine bağlı olması önemlidir.
Seçim,Propaganda,Seçim konusunda yapılan reformlar geniş yankı uyandırdı.
Koalisyon,Representative democracy,"Koalisyon, demokrasinin işleyişinde kritik bir rol oynar."
Halk egemenliği,Pluralism,"Halk egemenliği perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Yasama,Propaganda,"Yasama, demokrasinin işleyişinde kritik bir rol oynar."
Yürütme,Constitution,"Yürütme, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Yargı,Freedom,Yargı kavramı modern siyaset biliminin temelini oluşturur.
Propaganda,Popular sovereignty,"Propaganda, günümüz siyasetinde bir dönüm noktasıdır."
Bürokrasi,Party discipline,"Bürokrasi, günümüz siyasetinde bir dönüm noktasıdır."
Ekonomi politikası,Parliament,"Ekonomi politikası perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Yerel yönetim,Constitutional amendment,"Yerel yönetim, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Ulusal güvenlik,Politics,"Ulusal güvenlik, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Anayasa değişikliği,Propaganda,"Anayasa değişikliği perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Parlamento sistemi,International relations,"Parlamento sistemi, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Siyasi kriz,Representative democracy,"Siyasi kriz, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Parti disiplini,Election,"Parti disiplini, günümüz siyasetinde bir dönüm noktasıdır."
Ulusal çıkarlar,Bureaucracy,Ulusal çıkarlar konusunda yapılan reformlar geniş yankı uyandırdı.
Kamuoyu,Freedom,Kamuoyu kavramı modern siyaset biliminin temelini oluşturur.
Devlet politikası,Ruling party,"Devlet politikası perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Sivil toplum,Political crisis,Sivil toplum kavramı modern siyaset biliminin temelini oluşturur.
Yolsuzluk,Politics,Bir toplumun Yolsuzluk ilkelerine bağlı olması önemlidir.
Çoğulculuk,Diplomacy,"Çoğulculuk, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Temsili demokrasi,Democracy,"Temsili demokrasi, günümüz siyasetinde bir dönüm noktasıdır."
Egemenlik,Public opinion,Egemenlik konusunda yapılan reformlar geniş yankı uyandırdı.
Bağımsızlık,Opposition,Bir toplumun Bağımsızlık ilkelerine bağlı olması önemlidir.
Demokrasi,Party discipline,"Demokrasi perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Hukukun üstünlüğü,Parliamentary system,Hukukun üstünlüğü üzerine yoğun tartışmalar yaşanmaktadır.
İnsan hakları,Civil society,"İnsan hakları perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Anayasa,Freedom,"Anayasa perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Özgürlük,Propaganda,Özgürlük üzerine yoğun tartışmalar yaşanmaktadır.
Siyaset,Executive,Siyaset kavramı modern siyaset biliminin temelini oluşturur.
